172.16.4.9	ALURACK - MALAMBO
192.168.23.7	ACEROS CORTADOS - GIRARDOTA
192.168.17.116	ACEROS CORTADOS - MOSQUERA
172.16.0.141	1072
172.16.0.131	CEDI
172.16.0.140	CAFETERIA
172.16.0.130	LGC ENTRADA
172.16.0.139	LGC SALIDA
172.16.0.132	LAMINACION ENTRADA
172.16.0.133	LAMINACION SALIDA
172.16.0.142	ENROLAMIENTO TH
192.168.21.35	ACESCO - MOSQUERA
192.168.22.12	MATECSA - MALAMBO
192.168.23.8	MATECSA - GIRARDOTA
172.16.38.25	MATECSA - YUMBO
192.168.17.36	MATECSA - MOSQUERA
192.168.17.117	MATECSA - MOSQUERA
