10.27.19.41	GIRARDOTA-R1-SW1-STKx2
10.27.19.42	GIRARDOTA-R2-SW1-STKx2
10.27.19.43	GIRARDOTA-R3-SW1-STKx2
10.27.19.44	GIRARDOTA-R4-SW1-STKx2
10.27.19.101	GIRA-AP-1
10.27.19.102	GIRA-AP-2
10.27.19.103	GIRA-AP-3
10.27.19.104	GIRA-AP-4
10.27.19.105	GIRA-AP-5
10.27.19.106	GIRA-AP-6
10.27.19.107	GIRA-AP-7
10.27.19.108	GIRA-AP-8
10.27.19.109	GIRA-AP-9
10.27.19.110	GIRA-AP-10
10.27.19.111	GIRA-AP-11
10.27.19.112	GIRA-AP-12
10.27.19.113	GIRA-AP-13
10.27.19.114	GIRA-AP-14
10.27.19.115	GIRA-AP-15
10.27.19.116	GIRA-AP-16
10.27.19.117	GIRA-AP-17
10.27.19.118	GIRA-AP-18
10.27.19.119	GIRA-AP-19
10.27.19.120	GIRA-AP-20
10.27.19.121	GIRA-AP-21
10.27.19.122	GIRA-AP-22
10.27.19.123	GIRA-AP-23
10.27.19.124	GIRA-AP-24
10.27.19.126	GIRA-AP-26
10.27.19.127	GIRA-AP-27
10.27.19.128	GIRA-AP-28
10.27.19.129	GIRA-AP-29
10.27.19.131	GIRA-AP-31
10.27.19.132	GIRA-AP-32
10.27.19.133	GIRA-AP-33
10.27.19.134	GIRA-AP-34
10.27.19.135	GIRA-AP-35
10.27.19.136	GIRA-AP-36
10.27.19.138	GIRA-AP-38
10.27.19.139	GIRA-AP-39
10.27.19.140	GIRA-AP-40
10.27.19.141	GIRA-AP-41
10.27.19.143	GIRA-AP-43
10.27.19.144	GIRA-AP-44
10.27.19.145	GIRA-AP-45
10.27.19.146	GIRA-AP-46
10.27.19.147	GIRA-AP-47
10.27.19.148	GIRA-AP-48
10.27.19.150	GIRA-AP-50
10.27.19.151	GIRA-AP-51
10.27.19.152	GIRA-AP-52
10.27.19.153	GIRA-AP-53
10.27.19.155	GIRA-AP-55
10.27.19.156	GIRA-AP-56
10.27.19.157	GIRA-AP-57
10.27.19.158	GIRA-AP-58
10.27.19.159	GIRA-AP-59
10.27.19.160	GIRA-AP-60
10.27.19.161	GIRA-AP-61
10.102.19.24	MALAMBO-R1-SW4-STKx2
10.102.19.26	MALAMBO-R1-SW6
10.102.19.101	AKCEB-BOD5-AP1
10.102.19.102	AKCEB-BOD5-AP2
10.102.19.103	AKCEB-BOD5-AP3
10.102.19.104	AKCEB-BOD5-AP4
10.102.19.105	AKCEB-BOD5-AP5
10.102.19.106	AKCEB-BOD5-AP6
10.102.19.107	AKCEB-BOD5-AP7
10.102.19.108	AKCEB-BOD5-AP8
10.102.19.109	AKCEB-BOD6-AP9
10.102.19.110	AKCEB-BOD6-AP10
10.102.19.111	AKCEB-BOD6-AP11
10.102.19.112	AKCEB-BOD6-AP12
10.102.19.113	AKCEB-BOD6-AP13
10.102.19.114	AKCEB-BOD6-AP14
10.102.19.115	AKCEB-BOD6-AP15
10.102.19.116	AKCEB-BOD6-AP16
10.102.19.117	AKCEB-BOD7-AP17
10.102.19.118	AKCEB-BOD7-AP18
10.102.19.119	AKCEB-BOD7-AP19
10.102.19.120	AKCEB-BOD7-AP20
10.102.19.121	AKCEB-BOD7-AP21
10.102.19.122	AKCEB-BOD7-AP22
10.102.19.123	AKCEB-BOD7-AP23
10.102.19.124	AKCEB-BOD7-AP24
10.102.19.125	AKCEB-BOD5-AP25
10.102.19.126	AKCEB-BOD6-AP26
10.102.19.127	AKCEB-BOD7-AP27
10.102.19.128	AKCEB-BOD6-RECEPCION-AP28
10.102.19.129	AKCEB-BOD6-MEZN-P2-AP29
10.102.19.130	AKCEB-BOD6-MEZN-P2-AP30
