192.168.32.10   AP_ACECOR_MLB_BOD1_01
192.168.32.11	AP_ACECOR_MLB_BOD1_02
192.168.32.12	AP_ACECOR_MLB_BOD2_01
192.168.32.13	AP_ACECOR_MLB_BOD2_02
192.168.32.14	AP_ACECOR_MLB_BOD3_01
192.168.32.15	AP_ACECOR_MLB_BOD3_02
192.168.32.16	AP_ACECOR_MLB_BOD4_01
192.168.32.17	AP_ACECOR_MLB_BOD4_02
192.168.32.18	AP_ACECOR_MLB_BOD5_01
192.168.32.19	AP_ACECOR_MLB_BOD5_02
192.168.32.20	AP_ACECOR_MLB_BOD6_01
192.168.32.21	AP_ACECOR_MLB_BOD6_02
192.168.32.22	AP_ACECOR_MLB_COMEDOR
192.168.32.23	AP_ACECOR_MLB_OF_COMERCIAL
192.168.32.24	AP_ACECOR_MLB_OF_MTTO
192.168.32.25	AP_ACECOR_MLB_OF_PRODUCCION
192.168.17.32	AP_ACECOR_MOSQUERA_OFICINAS_01
192.168.28.2	AP_GT_FINANCIERO
192.168.28.4	AP_GT_SALA_INTEGRIDAD
192.168.28.3	AP_GT_SALA_JUNTAS
192.168.28.1	AP_GT_RECEPCION
192.168.27.102	AP_ACESCO_CUSEZAR_SEC_PIMSA
192.168.27.103	AP_ACESCO_CUSEZAR_SALA_COMERCIAL_ACESCO
192.168.27.104	AP_ACESCO_CUSEZAR_SALA_JUNTAS_ACESCO
192.168.27.105	AP_ACESCO_CUSEZAR_ALTA_GERENCIA_BETANIA
192.168.27.106	AP_ACESCO_CUSEZAR_SALA_OPERACION_NAVESCO
192.168.27.107	AP_ACESCO_CUSEZAR_CONT_BETANIA
DHCP	AP_ACESCO_CUSEZAR_BACKUP
192.168.31.38	AP_ACESCO_MLB_OFICINAS_CEDI_01
192.168.31.39	AP_ACESCO_MLB_OFICINAS_CEDI_02
192.168.31.41	AP_ACESCO_MLB_OF_LAMINACION_01
192.168.31.42	AP_ACESCO_MLB_OF_LAMINACION_02
192.168.31.52	AP_ACESCO_MLB_SALA_MCM_02
192.168.31.59	AP_ACESCO_MLB_BODG_1069
192.168.31.16	AP_ACESCO_MLB_BODG_1071_B4
192.168.31.17	AP_ACESCO_MLB_BODG_1071_B6
192.168.31.18	AP_ACESCO_MLB_BODG_1071_B8
192.168.31.19	AP_ACESCO_MLB_BODG_1072_A5
192.168.31.20	AP_ACESCO_MLB_BODG_1072_B3
192.168.31.21	AP_ACESCO_MLB_BODG_1072_B8
192.168.31.22	AP_ACESCO_MLB_BODG_1073_01
192.168.31.23	AP_ACESCO_MLB_BODG_1073_02
192.168.31.24	AP_ACESCO_MLB_BODG_1073_03
192.168.31.25	AP_ACESCO_MLB_BODG_CEDI_C04
192.168.31.26	AP_ACESCO_MLB_BODG_CEDI_C08
192.168.31.27	AP_ACESCO_MLB_BODG_CEDI_C12
192.168.31.28	AP_ACESCO_MLB_BODG_CEDI_C16
192.168.31.29	AP_ACESCO_MLB_CARPADOS
192.168.31.40	AP_ACESCO_MLB_OF_FEPIMSA
192.168.31.43	AP_ACESCO_MLB_OF_PPIMSA
192.168.31.30	AP_ACESCO_MLB_CORRUGADORA
192.168.31.55	AP_ACESCO_MLB_SUB_PPAL_LGC1
192.168.31.60	AP_ACESCO_MLB_DECAPADO
192.168.31.12	AP_ACESCO_MLB_PISO_2_01
192.168.31.13	AP_ACESCO_MLB_PISO_2_02
192.168.31.14	AP_ACESCO_MLB_PISO_2_03
192.168.31.11	AP_ACESCO_MLB_BACKUP
192.168.31.32	AP_ACESCO_MLB_LAB_ALIM_P2
192.168.31.35	AP_ACESCO_MLB_LAMINADOR
192.168.31.31	AP_ACESCO_MLB_ENT_LGC1
192.168.31.36	AP_ACESCO_MLB_LPC_01
192.168.31.37	AP_ACESCO_MLB_LPC_02
192.168.31.56	AP_ACESCO_MLB_TUB_01
192.168.31.57	AP_ACESCO_MLB_TUB_03
192.168.31.58	AP_ACESCO_MLB_NACIONALIZACION
192.168.31.53	AP_ACESCO_MLB_SALA_ORDENADORES
192.168.31.33	AP_ACESCO_MLB_LAB_CALIDAD_01
192.168.31.34	AP_ACESCO_MLB_LAB_CALIDAD_02
192.168.31.44	AP_ACESCO_MLB_OF_PRD_P1
192.168.31.45	AP_ACESCO_MLB_OF_PRD_P2
192.168.31.46	AP_ACESCO_MLB_OF_SEGURIDAD
192.168.31.49	AP_ACESCO_MLB_PER_03
192.168.31.15	AP_ACESCO_MLB_ALMACEN
192.168.31.50	AP_ACESCO_MLB_SALA_DE_JUNTAS
192.168.31.51	AP_ACESCO_MLB_SALA_MCM_01
192.168.31.47	AP_ACESCO_MLB_OF_SONDA
192.168.31.54	AP_ACESCO_MLB_SALON_JUAN_B
192.168.31.48	AP_ACESCO_MLB_PAN_01
192.168.21.240	AP_ACESCO_MOSQUERA_BODEGA_01
192.168.21.241	AP_ACESCO_MOSQUERA_BODEGA_02
192.168.21.242	AP_ACESCO_MOSQUERA_BODEGA_03
192.168.21.243	AP_ACESCO_MOSQUERA_BODEGA_04
192.168.21.244	AP_ACESCO_MOSQUERA_BODEGA_05
192.168.21.245	AP_ACESCO_MOSQUERA_BODEGA_06
192.168.21.246	AP_ACESCO_MOSQUERA_OFICINAS_01
192.168.17.27	AP_ACESCO_MOSQUERA_OFICINAS_02
192.168.17.25	AP_ACESCO_MOSQUERA_OFICINAS_03
192.168.23.18	AP_ALURACK_GIR_OFICINAS_01
192.168.23.19	AP_ALURACK_GIR_PLANTA_01
192.168.23.17	AP_MATECSA_GIR_PLANTA_01
192.168.22.80	AP_MATECSA_MLB_OFICINAS_01
192.168.22.81	AP_MATECSA_MLB_OFICINAS_02
192.168.22.82	AP_MATECSA_MLB_PLANTA_01
192.168.22.83	AP_MATECSA_MLB_PLANTA_02
192.168.22.84	AP_MATECSA_MLB_PLANTA_03
192.168.22.85	AP_MATECSA_MLB_PLANTA_04
192.168.22.86	AP_MATECSA_MLB_PLANTA_05
