FORTI-KER-DCP-A	10.177.1.243
BAL-KER-DCP-A	10.177.1.215
BAL-KER-DCP-B	10.177.1.216
BAL-KER-DCA-A	10.161.123.215
BHCOL-PREWEB-01	172.18.43.180
BHCOL-PREWEB-02	172.18.43.181
BHCOL-PREAPP-02	172.18.43.185
BHCOL-PREAPP-01	172.18.43.184
TRISRVOL8DB12-S2-CO	172.18.43.52
BH-EXTDB11-S2-CO	172.18.43.198
MonitorDB_TRI	172.18.43.100
BH-PREDB11-S2-CO	172.18.43.179
BHCOL-PRESESIONES-01	172.18.43.151
PRD-WEB01	172.18.43.160
PRD-WEB02	172.18.43.161
PRD-WEB04	172.18.43.163
PRD-WEB06	172.18.43.165
PRD-WEB07	172.18.43.166
PRD-WEB08	172.18.43.167
BH-CAPWEB11	172.18.43.158
BH-CAPWEB12	172.18.43.159
BH-CAPAPP11	172.18.43.156
BH-CAPAPP12	172.18.43.157
BH-LABSESION11	172.18.43.152
BH-LABWEB11	172.18.43.182
BH-LABWEB12	172.18.43.183
BH-LABAPP11	172.18.43.186
BH-LABAPP12	172.18.43.187
TRISRVOL8DB14-S2-CO	172.18.43.54
TRISRVOL8DB13-S2-CO	172.18.43.53
TRISRVOL8DB11-S2-CO	172.18.43.51
BH-LABDB11-S2-CO	172.18.43.188
BH-CAPDB11-S2-CO	172.18.43.155
OLVM4	10.177.1.163
trisrvolvmm01-s2-co.cloud2.sonda.com.co	10.177.1.230
trisrvolvm01-s2-co.cloud2.sonda.com.co	10.177.1.160
trisrvolvm02-s2-co.cloud2.sonda.com.co	10.177.1.161
OLVM3	10.177.1.162
trisrvolvm05-s2-co.cloud2.sonda.com.co	10.177.1.164
esxi21-s2-co	10.177.1.201
esxi22-s2-co	10.177.1.202
esxi23-s2-co	10.177.1.203
TRISRVKERMOM01	172.18.107.53
TRISRVKERBD01	172.18.107.54
TRISRVKERCOL01	172.18.107.55
TRISRVKERCOL02	172.18.107.56
PRD-BHREPORTING	172.18.43.221
TRIKERDBVEEAM	10.177.1.159
BH-CAPSESION11	172.18.43.153
esxi-s1-co-prod-21.cloud.sonda.com.co	10.161.123.235
esxi-s1-co-prod-22.cloud.sonda.com.co	10.161.123.236
LUMSRVOL8DB12-S2-CO	172.18.42.91
LUMSRVOL8DB11-S2-CO	172.18.42.90
BH-PROADDNS02	172.18.43.145
BH-PROSESION02	172.18.43.150
TRISRNETMS03	10.177.1.151
TRISRVWSUS1	172.18.43.199
BH-PROADDNS03.bhsanitas.com	172.18.42.144
trisrvkerkal01	172.18.43.239
N9K-KER-DCP-B.sondabh.local	10.177.1.212
N9K-KER-DCP-A.sondabh.local	10.177.1.211
MDS9K-KER-DCP-A	10.177.1.213
MDS9K-KER-DCP-B	10.177.1.214
FI-KER-DC1-B	10.177.1.219
FI-KER-DC1-B	10.177.1.218
MDS9K-KER-DCA-A	10.161.123.213
MDS9K-KER-DCA-B	10.161.123.214
N9K-KER-DCA-A	10.161.123.211
N9K-KER-DCA-B.sonda.com	10.161.123.212
PURE-KERALTY-DCP-22 - Srtorage Cluster	10.177.1.223
PURE-KERALTY-SA22 - Srtorage CT0	10.161.123.17
PURE-KERALTY-SA22 - Srtorage CT1	10.161.123.18
PURE-KERALTY-SA22 - Srtorage Cluster	10.161.123.19
PURE-KERALTY-DCP-22 - Srtorage CT0	10.177.1.221
PURE-KERALTY-DCP-22 - Srtorage CT1	10.177.1.222
